week,date,base_transactions,base_volume_usd,base_median_fee_usd,solana_transactions,solana_volume_usd,solana_median_fee_usd,solana_volume_share_pct,relative_fee_ratio,log_odds_solana_share
1,2025-01-05,1418557,363125.21,0.004014,1929273,471645.38,0.000417,56.5,2.265,1.0189
2,2025-01-12,1284582,390936.88,0.002192,2650325,507768.59,0.000554,56.5,1.3755,0.5536
3,2025-01-19,1152583,342585.48,0.004906,2225611,444967.35,0.000533,56.5,2.2189,0.9867
4,2025-01-26,1070532,320216.21,0.005344,2180375,415913.01,0.000511,56.5,2.3466,1.1608
5,2025-02-02,1307018,327388.07,0.001455,2260838,425228.18,0.00056,56.5,0.9544,0.4384
6,2025-02-09,1575743,393778.66,0.001948,2076419,376829.39,0.000872,48.9,0.8039,-0.044
7,2025-02-16,1363174,428316.33,0.003707,3025483,556318.9,0.000483,56.5,2.0376,1.0772
8,2025-02-23,1221742,332077.26,0.003036,2243823,431318.74,0.000764,56.5,1.3792,0.6224
9,2025-03-02,1462574,386230.71,0.003474,2730297,501655.98,0.000394,56.5,2.1767,1.0129
10,2025-03-09,1180339,329417.0,0.002384,1932709,427863.46,0.000552,56.5,1.4634,0.4243
11,2025-03-16,1328426,389267.57,0.005199,2220954,505600.41,0.000625,56.5,2.1186,1.0753
12,2025-03-23,1173753,371434.03,0.004967,2324392,482437.3,0.000695,56.5,1.967,0.8871
13,2025-03-30,1345544,353764.69,0.003606,2271773,459487.47,0.000717,56.5,1.6155,0.7743
14,2025-04-06,1138734,357545.12,0.005813,2156810,464397.69,0.000732,56.5,2.0725,1.0379
15,2025-04-13,1394744,337512.55,0.00432,1817109,438378.37,0.00055,56.5,2.0611,1.2676
16,2025-04-20,1312965,373428.11,0.002378,2024496,485027.31,0.000535,56.5,1.4925,0.624
17,2025-04-27,1183384,344031.16,0.004132,2441199,446845.08,0.000744,56.5,1.715,0.6502
18,2025-05-04,1283403,318889.61,0.002273,2149348,414189.96,0.000572,56.5,1.3799,0.6141
19,2025-05-11,1262531,317182.29,0.005197,2095782,411972.4,0.000436,56.5,2.4778,1.3295
20,2025-05-18,1332602,364505.68,0.003422,2397676,473438.41,0.000452,56.5,2.0244,1.2075
21,2025-05-25,1293396,410392.85,0.003221,2423055,533038.99,0.000477,56.5,1.9103,1.0551
22,2025-06-01,1265609,364094.73,0.002576,2261204,472904.64,0.000679,56.5,1.3329,0.6104
23,2025-06-08,1128280,355004.42,0.006067,2513509,461097.7,0.000622,56.5,2.2781,1.387
24,2025-06-15,1209796,368200.08,0.003265,2319815,478236.88,0.000713,56.5,1.5214,0.5003
25,2025-06-22,1447357,401483.31,0.002886,2406813,521466.82,0.000539,56.5,1.6777,0.6836
26,2025-06-29,1208901,366032.35,0.002987,2540769,475421.33,0.000624,56.5,1.5655,0.5681
27,2025-07-06,1430944,345468.5,0.004447,1882638,448711.96,0.000702,56.5,1.8467,0.8303
28,2025-07-13,1587927,394967.67,0.004126,2793571,513003.98,0.000555,56.5,2.0054,0.7848
29,2025-07-20,1217097,372863.18,0.004214,1978816,484293.55,0.000673,56.5,1.8351,0.9766
30,2025-07-27,1346453,408979.04,0.004249,2841599,531202.66,0.000508,56.5,2.1229,1.0339
31,2025-08-03,1410816,364853.02,0.009175,1982384,473889.56,0.000548,56.5,2.8181,1.2957
32,2025-08-10,1129097,318926.7,0.002915,1703381,414238.12,0.000545,56.5,1.6761,0.6262
33,2025-08-17,1089286,314238.81,0.002779,1641989,408149.25,0.000445,56.5,1.832,0.9263
34,2025-08-24,1333907,412736.52,0.002427,2270174,536083.07,0.000678,56.5,1.2756,0.6456
35,2025-08-31,1440109,415109.59,0.004618,2298590,539165.33,0.000534,56.5,2.1581,1.3895
36,2025-09-07,1293079,353018.19,0.005817,2038094,458517.87,0.000602,56.5,2.2685,1.5983
37,2025-09-14,1283175,346373.51,0.003325,1918253,449887.44,0.000677,56.5,1.5921,0.7865
38,2025-09-21,1483393,406554.62,0.002398,2787759,528053.7,0.000671,56.5,1.2739,0.3703
39,2025-09-28,1163327,339871.22,0.002415,1848526,402100.35,0.000709,54.19,1.2262,0.1681
40,2025-10-05,1065563,329684.53,0.00469,1982498,428210.94,0.000585,56.5,2.081,1.0803
41,2025-10-12,1374764,379863.54,0.00489,2055517,493385.97,0.00054,56.5,2.2039,0.9976
42,2025-10-19,1331658,346001.01,0.004469,2115876,449403.61,0.000588,56.5,2.0279,0.9435
43,2025-10-26,1385331,358707.9,0.002594,2251238,465907.96,0.000394,56.5,1.8859,0.8223
44,2025-11-02,1179729,353542.68,0.003885,2042978,459199.11,0.000418,56.5,2.2298,1.1152
45,2025-11-09,1211455,369888.37,0.003689,2418443,480429.72,0.000431,56.5,2.1468,1.2425
46,2025-11-16,1629459,404794.1,0.003862,2770347,525767.04,0.000468,56.5,2.1113,1.0833
47,2025-11-23,1474903,361830.33,0.005181,2201735,469963.54,0.000663,56.5,2.0558,1.0
48,2025-11-30,1321082,379883.5,0.00387,2358765,493411.91,0.000478,56.5,2.0906,0.891
49,2025-12-07,1160092,291988.14,0.004751,1932184,379248.96,0.000546,56.5,2.1636,0.8423
50,2025-12-14,1167702,357285.56,0.003608,2255723,464060.56,0.00083,56.5,1.4692,0.572
51,2025-12-21,1251250,331364.61,0.003986,2092868,430393.12,0.000549,56.5,1.9828,0.9686
52,2025-12-28,1268782,319111.22,0.00465,2042520,414477.8,0.000721,56.5,1.8633,1.1647
