seller_rank,seller_address,service_category,weekly_volume_usd,market_share_pct,cumulative_share_pct
1,0x6b86b273ff34fce19d6b804eff5a3f5747ada4ea,reasoning,79980.8,9.6946,9.6946
2,0xd4735e3a265e16eee03f59718b9b5d03019c07d8,data,42117.93,5.1052,14.7998
3,0x4e07408562bedb8b60ce05c1decfe3ad16b72230,data,39536.93,4.7924,19.5922
4,0x4b227777d4dd1fc61c6f884f48641d02b4d121d3,reasoning,37888.27,4.5925,24.1847
5,0xef2d127de37b942baad06145e54b0c619a1f2232,media,19407.12,2.3524,26.5371
6,0xe7f6c011776e8db7cd330b54174fd76f7d0216b6,media,16413.92,1.9896,28.5267
7,0x7902699be42c8a8e46fbbb4501726517e86b22c5,search,15782.36,1.913,30.4397
8,0x2c624232cdd221771294dfbb310aca000a0df6ac,media,15379.33,1.8642,32.3038
9,0x19581e27de7ced00ff1ce50b2047e7a567c76b1c,media,12084.49,1.4648,33.7686
10,0x4a44dc15364204a80fe80e9039455cc160828182,reasoning,10983.65,1.3314,35.1
11,0x4fc82b26aecb47d2868c4efbe3581732a3e7cbcc,search,7804.88,0.946,36.046
12,0x6b51d431df5d7f141cbececcf79edf3dd861c3b4,data,7690.57,0.9322,36.9782
13,0x3fdba35f04dc8c462986c992bcf8755462571130,data,7224.15,0.8757,37.8539
14,0x8527a891e224136950ff32ca212b45bc93f69fbb,media,7198.39,0.8725,38.7264
15,0xe629fa6598d732768f7c726b4b621285f9c3b853,data,7121.67,0.8632,39.5896
16,0xb17ef6d19c7a5b1ee83b907c595526dcb1eb06db,data,6242.38,0.7567,40.3463
17,0x4523540f1504cd17100c4835e85b7eefd4991158,search,5985.25,0.7255,41.0718
18,0x4ec9599fc203d176a301536c2e091a19bc852759,social,5664.0,0.6865,41.7583
19,0x9400f1b21cb527d7fa3d3eabba93557a18ebe7a2,infrastructure,5579.71,0.6763,42.4346
20,0xf5ca38f748a1d6eaf726b8a42fb575c3c71f1864,data,5573.85,0.6756,43.1103
21,0x6f4b6612125fb3a0daecd2799dfd6c9c299424fd,data,5484.36,0.6648,43.775
22,0x785f3ec7eb32f30b90cd0fcf3657d388b5ff4297,search,5461.42,0.662,44.437
23,0x535fa30d7e25dd8a49f1536779734ec8286108d1,reasoning,4948.78,0.5999,45.0369
24,0xc2356069e9d1e79ca924378153cfbbfb4d4416b1,social,4796.64,0.5814,45.6183
25,0xb7a56873cd771f2c446d369b649430b65a756ba2,data,4553.22,0.5519,46.1702
26,0x5f9c4ab08cac7457e9111a30e4664920607ea2c1,reasoning,4540.37,0.5503,46.7205
27,0x670671cd97404156226e507973f2ab8330d3022c,reasoning,4360.31,0.5285,47.2491
28,0x59e19706d51d39f66711c2653cd7eb1291c94d9b,social,4337.34,0.5257,47.7748
29,0x35135aaa6cc23891b40cb3f378c53a17a1127210,reasoning,4215.57,0.511,48.2858
30,0x624b60c58c9d8bfb6ff1886c2fd605d2adeb6ea4,reasoning,4057.17,0.4918,48.7776
31,0xeb1e33e8a81b697b75855af6bfcdbcbf7cbbde9f,data,4017.52,0.487,49.2645
32,0xe29c9c180c6279b0b02abd6a1801c7c04082cf48,reasoning,3842.57,0.4658,49.7303
33,0xc6f3ac57944a531490cd39902d0f777715fd005e,reasoning,3815.2,0.4624,50.1927
34,0x86e50149658661312a9e0b35558d84f6c6d3da79,search,3698.06,0.4482,50.641
