call_id,category,clearing_price_usd,settlement_chain,confirmation_latency_ms,seller_address
call_0001,search,0.2109,Solana,681,0x4fc82b26aecb47d2868c4efbe3581732a3e7cbcc
call_0002,trading,0.2849,Base,277,0xef2d127de37b942baad06145e54b0c619a1f2232
call_0003,data,0.2693,Solana,470,0x6f4b6612125fb3a0daecd2799dfd6c9c299424fd
call_0004,data,0.2311,Base,443,0x73475cb40a568e8da8a045ced110137e159f890a
call_0005,social,0.2384,Base,495,0x4b227777d4dd1fc61c6f884f48641d02b4d121d3
call_0006,social,0.2263,Base,481,0x0e17daca5f3e175f448bacace3bc0da47d0655a7
call_0007,reasoning,0.2603,Solana,891,0x9400f1b21cb527d7fa3d3eabba93557a18ebe7a2
call_0008,data,0.2321,Base,460,0x0e17daca5f3e175f448bacace3bc0da47d0655a7
call_0009,reasoning,0.229,Solana,741,0x98010bd9270f9b100b6214a21754fd33bdc8d41b
call_0010,social,0.2025,Solana,553,0x785f3ec7eb32f30b90cd0fcf3657d388b5ff4297
call_0011,search,0.2433,Solana,630,0xe29c9c180c6279b0b02abd6a1801c7c04082cf48
call_0012,reasoning,0.2517,Solana,874,0x7902699be42c8a8e46fbbb4501726517e86b22c5
call_0013,search,0.231,Solana,565,0xd4735e3a265e16eee03f59718b9b5d03019c07d8
call_0014,reasoning,0.2284,Solana,956,0x7902699be42c8a8e46fbbb4501726517e86b22c5
call_0015,search,0.2446,Solana,665,0xd59eced1ded07f84c145592f65bdf854358e009c
call_0016,reasoning,0.2384,Base,942,0xb17ef6d19c7a5b1ee83b907c595526dcb1eb06db
call_0017,social,0.2037,Base,436,0x25fc0e7096fc653718202dc30b0c580b8ab87eac
call_0018,media,0.255,Solana,1694,0xe629fa6598d732768f7c726b4b621285f9c3b853
call_0019,data,0.26,Base,376,0xe7f6c011776e8db7cd330b54174fd76f7d0216b6
call_0020,search,0.2536,Solana,565,0xef2d127de37b942baad06145e54b0c619a1f2232
call_0021,reasoning,0.2612,Base,919,0x6b51d431df5d7f141cbececcf79edf3dd861c3b4
call_0022,media,0.2109,Base,1244,0xb17ef6d19c7a5b1ee83b907c595526dcb1eb06db
call_0023,trading,0.2952,Base,253,0x0b918943df0962bc7a1824c0555a389347b4febd
call_0024,search,0.2607,Base,521,0x0e17daca5f3e175f448bacace3bc0da47d0655a7
call_0025,reasoning,0.2415,Base,940,0x7a61b53701befdae0eeeffaecc73f14e20b537bb
call_0026,media,0.2492,Solana,1245,0xb17ef6d19c7a5b1ee83b907c595526dcb1eb06db
call_0027,search,0.2465,Solana,612,0xef2d127de37b942baad06145e54b0c619a1f2232
call_0028,reasoning,0.2545,Solana,866,0xc6f3ac57944a531490cd39902d0f777715fd005e
call_0029,data,0.2579,Solana,515,0xd59eced1ded07f84c145592f65bdf854358e009c
call_0030,infrastructure,0.2487,Solana,278,0x19581e27de7ced00ff1ce50b2047e7a567c76b1c
call_0031,reasoning,0.2132,Solana,718,0x4b227777d4dd1fc61c6f884f48641d02b4d121d3
call_0032,data,0.3141,Solana,446,0xef2d127de37b942baad06145e54b0c619a1f2232
call_0033,data,0.2559,Solana,367,0x44cb730c420480a0477b505ae68af508fb90f96c
call_0034,reasoning,0.2766,Base,858,0x785f3ec7eb32f30b90cd0fcf3657d388b5ff4297
call_0035,data,0.2132,Base,388,0x3fdba35f04dc8c462986c992bcf8755462571130
call_0036,search,0.2436,Solana,703,0xc6f3ac57944a531490cd39902d0f777715fd005e
call_0037,reasoning,0.2259,Base,752,0xb17ef6d19c7a5b1ee83b907c595526dcb1eb06db
call_0038,search,0.2147,Base,698,0x73475cb40a568e8da8a045ced110137e159f890a
call_0039,data,0.2491,Base,377,0x670671cd97404156226e507973f2ab8330d3022c
call_0040,data,0.2219,Solana,431,0x4e07408562bedb8b60ce05c1decfe3ad16b72230
call_0041,social,0.2362,Base,532,0xd4735e3a265e16eee03f59718b9b5d03019c07d8
call_0042,media,0.3087,Solana,1770,0x0b918943df0962bc7a1824c0555a389347b4febd
call_0043,reasoning,0.2194,Base,675,0x4b227777d4dd1fc61c6f884f48641d02b4d121d3
call_0044,reasoning,0.2404,Solana,1015,0x73475cb40a568e8da8a045ced110137e159f890a
call_0045,reasoning,0.2276,Solana,917,0xb7a56873cd771f2c446d369b649430b65a756ba2
call_0046,reasoning,0.2584,Base,1008,0x5f9c4ab08cac7457e9111a30e4664920607ea2c1
call_0047,media,0.1982,Solana,1636,0x0b918943df0962bc7a1824c0555a389347b4febd
call_0048,reasoning,0.2416,Solana,949,0x624b60c58c9d8bfb6ff1886c2fd605d2adeb6ea4
call_0049,reasoning,0.2379,Base,800,0x5f9c4ab08cac7457e9111a30e4664920607ea2c1
call_0050,infrastructure,0.2555,Base,308,0x86e50149658661312a9e0b35558d84f6c6d3da79
call_0051,data,0.2539,Base,349,0xaea92132c4cbeb263e6ac2bf6c183b5d81737f17
call_0052,trading,0.3513,Solana,255,0x6f4b6612125fb3a0daecd2799dfd6c9c299424fd
call_0053,data,0.237,Base,440,0xe629fa6598d732768f7c726b4b621285f9c3b853
call_0054,search,0.1799,Solana,594,0x73475cb40a568e8da8a045ced110137e159f890a
call_0055,social,0.3108,Base,467,0x31489056e0916d59fe3add79e63f095af3ffb816
call_0056,media,0.2085,Base,1239,0x785f3ec7eb32f30b90cd0fcf3657d388b5ff4297
call_0057,reasoning,0.2226,Base,1060,0x811786ad1ae74adfdd20dd0372abaaebc6246e34
call_0058,media,0.282,Base,2134,0x4b227777d4dd1fc61c6f884f48641d02b4d121d3
call_0059,reasoning,0.2694,Base,892,0x35135aaa6cc23891b40cb3f378c53a17a1127210
call_0060,reasoning,0.244,Base,808,0x2c624232cdd221771294dfbb310aca000a0df6ac
call_0061,reasoning,0.2618,Base,961,0x73475cb40a568e8da8a045ced110137e159f890a
call_0062,data,0.25,Base,373,0xb17ef6d19c7a5b1ee83b907c595526dcb1eb06db
call_0063,reasoning,0.3204,Solana,1091,0x98010bd9270f9b100b6214a21754fd33bdc8d41b
call_0064,reasoning,0.2222,Base,982,0x6f4b6612125fb3a0daecd2799dfd6c9c299424fd
call_0065,infrastructure,0.2094,Solana,381,0x6b51d431df5d7f141cbececcf79edf3dd861c3b4
call_0066,search,0.2474,Solana,614,0x0e17daca5f3e175f448bacace3bc0da47d0655a7
call_0067,reasoning,0.2437,Solana,858,0x73475cb40a568e8da8a045ced110137e159f890a
