day,total_usdc,payments,active_payers,coinbase,payai,dexter,figment,openfacilitator,openx402,cascade,three_ws,ultravioletadao,retired,other
2025-10-27,0.0048,48,1,0,0,0,0,0,0,0,0,0,0.0048,0
2025-10-28,0.0488,488,1,0,0,0,0,0,0,0,0,0,0.0488,0
2025-10-30,0.1347,1347,1,0,0,0,0,0,0,0,0,0.0371,0.0976,0
2025-10-31,0.1493,1493,1,0,0,0,0,0,0,0,0,0,0.1493,0
2025-11-01,0.1509,1473,2,0,0,0,0,0,0,0,0,0,0.1509,0
2025-11-02,0.2508,2508,2,0,0,0,0,0,0,0,0,0,0.2508,0
2025-11-03,3.669264,1764,7,0,0,0,0,0,0,0,0,0.1214,3.547864,0
2025-11-04,0.2251,1054,4,0,0,0,0,0,0,0,0,0.0073,0.2178,0
2025-11-05,0.0185,86,2,0,0,0,0,0,0,0,0,0.0085,0.01,0
2025-11-06,0.0057,57,1,0,0,0,0,0,0,0,0,0.0057,0,0
2025-11-07,4.4798,1625,9,0,0,0,0,0,0,0,0,0,4.4798,0
2025-11-08,0.4939,343,2,0,0,0,0,0,0,0,0,0,0.4939,0
2025-11-09,0.7722,7614,9,0,0,0,0,0,0,0,0,0,0.7722,0
2025-11-10,16490.392,16507,1144,16489.022,0,0,0,0,0,0,0,0,1.37,0
2025-11-11,22.872526,90,13,22.871776,0,0,0,0,0,0,0,0,0.00075,0
2025-11-12,324.525514,369,41,322.163214,0,0,0,0,0,2.35,0,0,0.0123,0
2025-11-13,171.067356,164,16,86.010656,0,0,0,0,84.9833,0,0,0,0.0734,0
2025-11-14,5476.826198,2227,13,0.46108,0,0,0,0,5465.033968,0,0,11,0.33115,0
2025-11-15,689.977946,332,12,0.499,0,0,0,0,681.108796,0,0,2.82,5.55015,0
2025-11-16,14849.114745,5912,7,1.9385,0,0,0,0,14847.125395,0,0,0,0.05085,0
2025-11-17,56.551248,56,9,0.47,0,0,0,0,55.859898,0,0,0,0.22135,0
2025-11-18,495.996109,215,8,1.141014,0,0,0,0,494.854795,0,0,0,0.0003,0
