facilitator_name,tx,vol
CDP (Coinbase),74911530,26530042.24756878
Dexter,19267332,5016144.724228022
PayAI,25464006,4953064.651579633
Daydreams,11825574,2758136.106228851
Virtuals Protocol,698339,1345867.8831370955
Meridian,4924,659520.2919342277
x402.rs,689412,468539.60850076424
Mogami,17166,278433.3653296353
X402x,15545,218106.56099943924
OpenX402.ai,654551,194774.71240079805
thirdweb,180369,114355.50430956998
CodeNut,477359,110064.6483553689
AnySpend,314770,97247.47112315056
AurraCloud,235986,53571.443938963646
Heurist,7636374,10118.403767262302
Questflow,453410,5726.596851226087
Polygon,755761,1785.6572536874157
x402jobs,5534,1084.0780534737944
AInalyst,6087,846.2833486191513
xEcho,2166,398.4785173726169
Corbits,165089,384.0385538538736
Ultravioleta DAO,3113,300.7082460927347
Treasure,676,231.49534711156332
OctonetAI (Octox402),49,28.884242495833334
SOON,534,25.07659454424166
Amiko,35,18.18704236333333
402104,30,11.759139295208167
