facilitator_id,snapshot_day,status,payments,payers,merchants,usdc_volume,first_seen,last_seen,active_days,active_day_pct
coinbase,2026-09-08,live,646457,96970,420,482356.161732,2025-11-10 14:05:05+00:00,2026-09-08 23:58:26+00:00,295,97.4
payai,2026-09-08,live,9856743,2304,1177,171707.745823,2026-01-02 17:53:19+00:00,2026-09-08 23:59:56+00:00,135,54
dexter,2026-09-08,live,1041072,5000,6846,113484.067529,2026-04-07 11:54:50+00:00,2026-09-08 23:59:58+00:00,148,95.5
relai,2026-09-08,retired,55427,941,39,82579.686616,2026-03-13 12:48:44+00:00,2026-07-08 19:05:57+00:00,55,30.6
figment,2026-09-08,live,4295140,20,3,46463.189222,2026-06-18 20:25:26+00:00,2026-09-08 23:59:28+00:00,23,27.7
openx402,2026-09-08,live,8507,13,19,21990.356252,2025-11-13 23:54:35+00:00,2026-09-03 12:39:44+00:00,21,7
openfacilitator,2026-09-08,live,7644,322,2756,1197.556055,2026-01-11 19:55:15+00:00,2026-09-07 06:40:06+00:00,153,63.5
x402jobs,2026-09-08,retired,3557,93,38,1045.829878,2025-12-11 04:18:34+00:00,2026-07-07 13:40:07+00:00,90,33.1
corbits,2026-09-08,retired,40227,872,79,956.615736,2026-01-06 02:56:29+00:00,2026-06-26 19:19:45+00:00,167,67.9
cascade,2026-09-08,live,8398,28,103,542.9447,2025-11-12 00:01:26+00:00,2026-08-13 16:12:21+00:00,81,26.9
three-ws,2026-09-08,live,3543,2,3,381.1835,2026-08-31 04:15:16+00:00,2026-09-08 21:33:22+00:00,5,55.6
ultravioletadao,2026-09-08,live,1860,16,382,24.301368,2025-10-30 19:06:46+00:00,2026-08-18 17:05:37+00:00,25,8
anyspend,2026-09-08,retired,68,10,11,7.83,2025-11-07 04:17:37+00:00,2025-11-17 08:47:57+00:00,9,2.9
codenut,2026-09-08,retired,63,8,9,7.766114,2025-11-03 06:34:50+00:00,2025-11-20 01:00:11+00:00,16,5.2
bitrefill,2026-09-08,retired,4,2,2,6.04,2026-02-19 15:49:13+00:00,2026-04-03 08:20:49+00:00,2,1
twzrd_sponsored_agentcash_origin,2026-09-08,live,1,1,1,5.144666,2026-08-02 23:44:42+00:00,2026-08-02 23:44:42+00:00,1,2.6
daydreams,2026-09-08,retired,17582,18,4266,2.2052,2025-10-27 09:09:12+00:00,2026-01-12 14:34:33+00:00,16,5
aurracloud,2026-09-08,retired,543,3,3,0.0615,2025-11-01 11:31:29+00:00,2025-11-03 13:45:39+00:00,2,0.6
