date,base,solana,total
2025-11-19,"$2,309,602.82","$4,453.01","$2,314,055.84"
2025-11-20,"$1,610,208.23","$5,557.53","$1,615,765.76"
2025-11-21,"$354,404.44","$36,825.52","$391,229.95"
2025-11-22,"$154,103.62","$51,881.11","$205,984.72"
2025-11-23,"$156,603.21","$52,969.25","$209,572.46"
2025-11-24,"$283,961.88","$40,723.66","$324,685.54"
2025-11-25,"$340,217.64","$46,616.12","$386,833.76"
2025-11-26,"$603,146.00","$44,816.79","$647,962.79"
2025-11-27,"$447,812.52","$43,558.42","$491,370.94"
2025-11-28,"$163,240.75","$41,676.40","$204,917.15"
2025-11-29,"$42,328.31","$40,465.74","$82,794.05"
2025-11-30,"$59,313.24","$382,658.78","$441,972.02"
2025-12-01,"$86,097.04","$144,561.76","$230,658.79"
2025-12-02,"$110,027.81","$384,340.20","$494,368.00"
2025-12-03,"$110,488.11","$856,055.55","$966,543.66"
2025-12-04,"$93,231.32","$361,309.07","$454,540.39"
2025-12-05,"$110,335.22","$182,403.42","$292,738.64"
2025-12-06,"$94,893.76","$131,599.83","$226,493.59"
2025-12-07,"$57,487.73","$192,130.52","$249,618.25"
2025-12-08,"$117,648.26","$157,421.68","$275,069.94"
2025-12-09,"$139,611.68","$207,801.16","$347,412.85"
2025-12-10,"$198,390.15","$213,591.90","$411,982.05"
2025-12-11,"$148,952.02","$239,157.97","$388,109.99"
2025-12-12,"$155,903.14","$226,635.49","$382,538.63"
2025-12-13,"$92,318.53","$351,751.21","$444,069.74"
2025-12-14,"$93,984.22","$346,695.09","$440,679.31"
2025-12-15,"$314,668.67","$245,600.46","$560,269.13"
2025-12-16,"$332,797.25","$328,485.15","$661,282.40"
2025-12-17,"$100,604.36","$336,757.88","$437,362.24"
2025-12-18,"$57,400.00","$315,300.00","$372,700.00"
2025-12-19,"$54,500.00","$164,900.00","$219,400.00"
2025-12-20,"$37,700.00","$85,200.00","$122,900.00"
2025-12-21,"$75,600.00","$115,700.00","$191,300.00"
2025-12-22,"$52,700.00","$73,300.00","$126,000.00"
2025-12-23,"$48,700.00","$78,200.00","$126,900.00"
2025-12-24,"$62,900.00","$83,000.00","$145,900.00"
2025-12-25,"$60,600.00","$97,200.00","$157,800.00"
2025-12-26,"$50,900.00","$89,300.00","$140,200.00"
2025-12-27,"$50,000.00","$97,400.00","$147,400.00"
2025-12-28,"$48,200.00","$54,600.00","$102,800.00"
2025-12-29,"$52,700.00","$55,200.00","$107,900.00"
2025-12-30,"$42,400.00","$65,800.00","$108,200.00"
2025-12-31,"$23,400.00","$44,700.00","$68,100.00"
2026-01-01,"$40,400.00","$32,500.00","$72,900.00"
2026-01-02,"$23,700.00","$35,100.00","$58,800.00"
2026-01-03,"$31,600.00","$34,300.00","$65,900.00"
2026-01-04,"$54,900.00","$34,100.00","$89,000.00"
2026-01-05,"$23,800.00","$36,100.00","$59,900.00"
2026-01-06,"$18,000.00","$35,600.00","$53,600.00"
2026-01-07,"$18,800.00","$33,900.00","$52,700.00"
2026-01-08,"$19,000.00","$40,900.00","$59,900.00"
2026-01-09,"$31,800.00","$24,500.00","$56,300.00"
2026-01-10,"$27,300.00","$24,000.00","$51,300.00"
2026-01-11,"$34,300.00","$34,600.00","$68,900.00"
2026-01-12,"$21,400.00","$29,200.00","$50,600.00"
