blockchain,week,tx_count,total_spend_usd,payers,facilitators
base,2025-05-05 00:00:00.000 UTC,47,39.29276945908332,6,2
base,2025-05-12 00:00:00.000 UTC,158,31.62663421851749,12,2
base,2025-05-19 00:00:00.000 UTC,90,21.546148914674998,12,3
base,2025-05-26 00:00:00.000 UTC,434,18.68034089826125,16,2
base,2025-06-02 00:00:00.000 UTC,246,36.95052573661666,39,2
base,2025-06-09 00:00:00.000 UTC,190,11.670479891166668,23,2
base,2025-06-16 00:00:00.000 UTC,155,53.517887649309166,28,1
base,2025-06-23 00:00:00.000 UTC,238,36.79066647290967,27,2
solana,2025-06-30 00:00:00.000 UTC,5,0.0050004179999999995,1,1
base,2025-06-30 00:00:00.000 UTC,216,21.081538453241667,17,2
solana,2025-07-07 00:00:00.000 UTC,12,0.011998648,1,1
base,2025-07-07 00:00:00.000 UTC,414,21.712336298258666,30,3
base,2025-07-14 00:00:00.000 UTC,139,12.283022917069667,17,2
solana,2025-07-14 00:00:00.000 UTC,7,0.006996168,1,1
base,2025-07-21 00:00:00.000 UTC,2357,98.18870080599024,73,1
solana,2025-07-21 00:00:00.000 UTC,3,0.00299784,1,1
solana,2025-07-28 00:00:00.000 UTC,3,0.002999209,1,1
base,2025-07-28 00:00:00.000 UTC,2017,431.78257522157304,95,2
base,2025-08-04 00:00:00.000 UTC,3868,1575.9404122201536,116,2
base,2025-08-11 00:00:00.000 UTC,3117,115.22278847084519,61,2
solana,2025-08-11 00:00:00.000 UTC,1,0.0009997740000000001,1,1
solana,2025-08-18 00:00:00.000 UTC,65,0.06501865199999995,2,1
base,2025-08-18 00:00:00.000 UTC,2501,202.19750282025495,76,3
base,2025-08-25 00:00:00.000 UTC,3567,287.7431705984117,109,2
base,2025-09-01 00:00:00.000 UTC,7486,277.6262581227543,85,3
base,2025-09-08 00:00:00.000 UTC,6671,168.30648006657125,63,3
solana,2025-09-08 00:00:00.000 UTC,30,0.80455235,7,1
base,2025-09-15 00:00:00.000 UTC,8896,465.31816096838963,116,3
solana,2025-09-15 00:00:00.000 UTC,43,619.2170458600001,7,1
base,2025-09-22 00:00:00.000 UTC,4492,149.99104978900155,78,3
polygon,2025-09-22 00:00:00.000 UTC,15,0.1502824876695833,10,2
solana,2025-09-22 00:00:00.000 UTC,89,75.346246879567,11,2
polygon,2025-09-29 00:00:00.000 UTC,4,0.040001770000000006,2,1
solana,2025-09-29 00:00:00.000 UTC,1853,11.740575563807994,14,2
base,2025-09-29 00:00:00.000 UTC,19010,48885.151452969905,97,3
polygon,2025-10-06 00:00:00.000 UTC,1,0.010185076387500002,1,1
solana,2025-10-06 00:00:00.000 UTC,3453,33.135867548,18,2
base,2025-10-06 00:00:00.000 UTC,5393,778.9757812434079,149,4
solana,2025-10-13 00:00:00.000 UTC,1552,57.754015762,14,2
base,2025-10-13 00:00:00.000 UTC,21020,3660.8542609395417,801,8
polygon,2025-10-13 00:00:00.000 UTC,8,0.40009494166666676,1,1
base,2025-10-20 00:00:00.000 UTC,1359720,1440619.0472220767,73379,9
polygon,2025-10-20 00:00:00.000 UTC,1162,1.2276278399076666,13,5
solana,2025-10-20 00:00:00.000 UTC,6023,30645.216936257497,952,3
base,2025-10-27 00:00:00.000 UTC,6027768,4622592.849208221,124735,15
solana,2025-10-27 00:00:00.000 UTC,94902,11319.468291540594,699,8
polygon,2025-10-27 00:00:00.000 UTC,5526,2.6468204311333343,22,4
polygon,2025-11-03 00:00:00.000 UTC,39116,219.17245316480833,17,6
solana,2025-11-03 00:00:00.000 UTC,79695,62062.64420356246,1065,11
base,2025-11-03 00:00:00.000 UTC,8976892,5039455.172388808,36970,19
solana,2025-11-10 00:00:00.000 UTC,224858,233080.79748209033,4766,9
base,2025-11-10 00:00:00.000 UTC,18841976,9790526.203078859,61913,19
polygon,2025-11-10 00:00:00.000 UTC,105883,379.5540360339641,29,6
base,2025-11-17 00:00:00.000 UTC,18678993,8979114.562247466,26893,18
solana,2025-11-17 00:00:00.000 UTC,1276258,154736.77054377797,490,7
polygon,2025-11-17 00:00:00.000 UTC,128007,650.7303965485333,23,2
polygon,2025-11-24 00:00:00.000 UTC,101228,433.59669607998796,13,2
solana,2025-11-24 00:00:00.000 UTC,3600101,641017.6557491313,1013,5
base,2025-11-24 00:00:00.000 UTC,14408622,1942048.1634875652,25901,18
solana,2025-12-01 00:00:00.000 UTC,5477075,2250949.6726787416,1133,5
polygon,2025-12-01 00:00:00.000 UTC,75798,84.28286790466917,18,3
base,2025-12-01 00:00:00.000 UTC,9113816,878388.812321411,24965,18
polygon,2025-12-08 00:00:00.000 UTC,90223,82.41698110653331,19,3
solana,2025-12-08 00:00:00.000 UTC,5817690,1739264.3638453525,622,6
base,2025-12-08 00:00:00.000 UTC,10503478,944566.8072911494,24627,18
polygon,2025-12-15 00:00:00.000 UTC,89390,104.40484782425834,17,3
solana,2025-12-15 00:00:00.000 UTC,6584878,1628398.090890984,969,6
base,2025-12-15 00:00:00.000 UTC,9374921,1034802.8986085504,20899,18
solana,2025-12-22 00:00:00.000 UTC,6890550,573604.6732004011,1560,6
polygon,2025-12-22 00:00:00.000 UTC,89893,102.21043850155002,6,2
base,2025-12-22 00:00:00.000 UTC,9772985,449388.4282179437,21019,17
solana,2025-12-29 00:00:00.000 UTC,2124255,142111.08005702356,1448,5
base,2025-12-29 00:00:00.000 UTC,3685979,169835.7950184153,8319,17
polygon,2025-12-29 00:00:00.000 UTC,38194,38.30462939191667,7,2
